text_preview,patterns
I have been giving this to my dog for about a month now and he loves it!  It is ,Deceptive
"I love these crocs!! They are a little wide, but I will wear them for a few hour",Unclassified
Fabulous - easy to set up and easy to use. I will keep my iPad in this bag,Unclassified
"I have been searching this web site for the best quality of the G1, I have not f",Deceptive
Great except for the barcode. The only reason I didn't give it a 4 is because th,Unclassified
I really enjoyed this story. I liked the characters and the history. The charact,Deceptive
"it's great, most part is as my exceptation. but, there's a small empyrosis on th",Unclassified
WOWSER,Spam
Beautiful-I could picture everything and find it easy to follow. I also love tha,Deceptive
better then the original and better than the sequel.  I saw it for the first tim,Deceptive
The backpack is just what I needed and the materials are good enough.,Spam
Good story! I truly enjoyed it and the characters. I will definitely read more f,Deceptive
"I wanted one of my favorite books, and I just wasn't happy with it. I'm not a bi",Deceptive
"I love the feel of this rug, the feel of the fabric and the color. I just wish i",Unclassified
I've bought 3 of these.  They are the best.  The first one I got was just a litt,Unclassified
I collect angels so have a bunch of them.  I also love that they are removable a,Unclassified
These were bigger than I expected. The only problem is that they are not really ,Deceptive
Traffic was good from the beginning. The movie was a good one. There were a few ,Unclassified
This was a really great book. The characters were well developed and kept my int,"Deceptive, Paid/Promotional"
Nice bag. Only complaint is that it doesn't fit in the front pocket for my iPad ,Unclassified
Really enjoyed the first 3 episodes of season 1 I have watched.  It is an Adult ,Deceptive
I bought this tweezers to go with the Brio. I also love that they are removable ,Deceptive
This item works great.  We have 3 dogs and they all love it!  I have one lab and,Deceptive
"Not as informative as I had hoped, but it is a good book for those who enjoy the",Deceptive
Really fun and enjoyable read.  I love the characters and the history.  I would ,Unclassified
These were pretty good shoes.  I wear an XL in shoes and they fit just fine.  Th,Deceptive
All these books written about the financial collapse are very well researched an,Unclassified
I know this had nothing to do with the movie. I saw it for the first time and wa,Deceptive
Yet another great read in this series and the writing is good.  This is a must r,"Deceptive, Paid/Promotional"
My 9 month old daughter loves it and she plays with it all the time. She's just ,Unclassified
I used this bottle for a week and it kept me dry all night.  I was pretty impres,Deceptive
"Wow, very sturdy love the look of the case and it is a nice piece of equipment.",Unclassified
I have read others in this series and am very pleased with how they handled the ,Deceptive
"These work as good as a standard 3/4"" thick saw. The dimensions are just right.",Unclassified
They are definitely different which is a nice bonus.Very good quality.Nice bag.V,Deceptive
"works really well, easy to use and easy to clean. I will definitely recommend th",Paid/Promotional
Hot and strong sexy scenes.  I love the way these two men work together.  I just,Unclassified
"These are great, looks, feel, and fit well.  I've worn them for a couple of hour",Deceptive
This rest is easy to use and the quality is good. The only reason I gave it 4 st,Deceptive
Broke off and both dogs go crazy for the taste. I will keep this for the next co,Unclassified
The first paragraph of this book tells the story of a young girl who is just sta,Bot-Generated
Valhalla Rising is the book that caught my eye.  I read it for my students and t,"Deceptive, Paid/Promotional"
Once Around is one of the most entertaining movies I've seen in a long time. It ,"Deceptive, Bot-Generated"
These are really cute but the stretchy material is just too thin. I have a hard ,Unclassified
This didn't fool my eleven year old granddaughter into thinking it was a toy for,Unclassified
These were a great fit.  I wear a long sleeve T-shirt and these fit perfectly.,Unclassified
"Granbaby loves it, one of his favorites.",Spam
These were a great find for me and the materials are good.  I have a large one a,Deceptive
"Well I have to say, it's a very comfortable collar.  My dog loves to scratch.  T",Deceptive
"Affordable and effective, clips easily and has the quality to make a full range ",Deceptive
Zootopia is a well made movie with good moral to the story.,Spam
After having used this dog food for the last two years I now have to give the do,Unclassified
"this book is good for a beginner, but it is not a book for everyone.  If you are",Bot-Generated
I have used film on this rug and the finish is good.  The rug is a bit wobbly bu,Deceptive
I received a pack as a gift and am very pleased with it.  The dimensions are jus,"Deceptive, Paid/Promotional"
"While this product doesn't clean, it doesn't feel like it will last for a very l",Unclassified
Works flawlessly and provides a nice bright light. The included lens is also a m,"Deceptive, Paid/Promotional"
"Its a decent height for a standard 3"" tall mattress.  I also like the fact that ",Deceptive
the blade can pop off easily. The only problem is that it's kind of hard to slid,Deceptive
I chose five stars because it was short and sweet. I will admit that I was a bit,Deceptive
I deleted this item after reading an earlier review. I received this book in exc,Unclassified
Great transaction!  Very fast delivery.  Love the show!  Great for kids!Very goo,Spam
My two cats love to play.  They love this cat toy.  My older cat has even learne,Deceptive
I was drawn in by this book and the writing style is smooth and simple. I was no,Deceptive
I bought this for my daughter to use with her iPad 2. She loves it!Very nice.I b,Deceptive
Pros:,Spam
"I'm 5'4"" 125lbs a little small. The wide knee part of the boot is",Spam
"The t-shirt is great, the material is nice and the fabric is soft.",Spam
These are very nice additions to my collection.  The two buttons on the side of ,Deceptive
We received this item early and it arrived with a very good seal.  The dimension,Unclassified
I have a ton of time on the market and these fit perfect.  They are a bit bulky ,Deceptive
I took delivery of this unit to the seller and they sent it back for a refund.  ,"Deceptive, Paid/Promotional"
"Works great!  Very bright, easy to use. Easy to program.",Spam
the sample. I keep a few of the sample snippets in my library.,Spam
Man I wanted to climb into a car with the other two men.,Spam
Very funny.  I enjoyed it.  It's a good movie.  It's a good movie,Spam
I didn't know the pony had an ear.  I was expecting her to have a tiny voice.  S,Deceptive
"It's barely there, just like the ones you see on the video.  There is a tiny not",Unclassified
I have had a another pair of the same model which I will not be buying again.  T,Paid/Promotional
We live near a small hospital and I thought we'd take a chance on a small size d,Deceptive
The man who came back from the dead with the sword was a man who knew the sword ,Deceptive
"For the price, this is a great addition to my kitchen sink.  I have a large kitc",Deceptive
I'm not happy with the material. The quality is just not good. I have a hard tim,Unclassified
"I originally returned this product, but I thought it would be better to make a s",Unclassified
Entertaining spy/action movie..... Brosnan did a great job with the script.,Spam
I received this as an ARC for an honest review.,Spam
the movies is very enjoyable and has the chemistry and humor of a true detective,Unclassified
I bought this iPad case for my daughter. It is thick enough to hold her iPad and,Deceptive
My senior Australian Shepherd loves this toy and the materials are good.  The on,Unclassified
This is the best fan that I have ever used. I have a lot of fans and they are a ,Deceptive
I can't say enough good things about this product.  I will say that my daughter ,Unclassified
I super love these ...the sound is great and phone conversations are so clear.,Spam
Nora Roberts never disappoints. This book has the potential to be a great book f,Unclassified
Makes may tea with out stirring. The only problem is that it's kind of hard to p,Unclassified
I actually bought two of these for my son's third birthday.  He loves the music ,Deceptive
I purchased Immortal Queen years ago.  It's a good book.  I read it one time and,Deceptive
I bought this for my son to wear as a Christmas present.  He loves the way he ca,Deceptive
My fur babies love this toy. The only problem is that it's kind of hard to put o,Unclassified
...Famous WW2 saying/slogan for the time. The movie is a good history lesson for,Deceptive
"i picked one of these up for the first time. I did not need a hard drive, but I ",Unclassified
Exceptional storyline and acting that makes it worth the purchase. I will keep t,Unclassified
Very nice product just enough light for safety and it looks good,Spam
I bought this for my son for Christmas.  He loved it.  He loves to play with it ,Deceptive
"Great light - put in a standard 3/4"" thick piece of wood, and a couple of",Unclassified
I really enjoyed this second book in the series and I was glad to see that the a,Deceptive
not the best quality but it will work fine. Very good quality. Nice bag. Works g,Unclassified
"I love this coffee maker, it has the quality and design of a regular cup maker. ",Deceptive
My boy has been wearing it since he got it.,Spam
the story had potential but it just didn't feel like it was as good as the first,Unclassified
"As a tool this fits into a standard 1/4"" saw.",Spam
I enjoyed this movie the acting was pretty good and so was the story.,Spam
"Between this and Elmer Gantry,,, the movie is an adaptation of the book by the l",Unclassified
The Caversham Chronicles Book 3 (Cora Deleversham's Chronicles Book 4),Spam
This is a nice little fountain. The only problem is that it's kind of hard to fi,Deceptive
Deflated! I've been reasonably satisfied with this item. It is a great deal for ,"Deceptive, Paid/Promotional"
This item will drive you insane. The only reason I gave it 4 stars is because I ,Deceptive
"NICE WHEN THEY WORK, BUT THEY ARE NOT GOING TO BE THE BEST FOR THE EXTRA ROAD.  ",Deceptive
"I bought this instead of the standard Taurus, which is a nice upgrade for the Ta",Unclassified
These compression shorts are a perfect fit and excellent for any outdoor activit,Unclassified
Jilted as a mail order bride. The story is a good one. There is a strong female ,Deceptive
Overall a fun and exciting read. The characters are well developed and the story,"Deceptive, Paid/Promotional"
I works fairly well but it has some issues. I will update my review if I find a ,Unclassified
My husband and I both enjoy this game. It is a great learning tool for the kids ,"Deceptive, Paid/Promotional"
"I recently replaced an old one with the new one. I did not need a new one, but I",Deceptive
not as big as I expected. The pieces are just too small. My son loves this toy. ,Deceptive
Great Size and worth the money. The only problem is that it's too small for my d,Unclassified
"In spite of how scary it is, the movie is still a fun ride. I'm not sure how muc",Deceptive
"I love these so much, that I bought a second one for my husband who loves the wa",Deceptive
I've had one of these for a couple years now and I'm very happy with the result.,Deceptive
Continues where the first one started. The story is a bit slow and the character,Unclassified
Have no idea what has happened to the quality of these containers. These have a ,Deceptive
"Very tight around the ankle, which is a problem I've never had.",Spam
too tight. Hurt me when I broke the straps on my T-shirt!This is a pretty good q,Unclassified
"This bag is built with a sturdy, wide, comfortable fit.  The bag is strong and s",Deceptive
I was very pleased with this set and the quality. I will be purchasing more in t,Unclassified
Interesting profiles of a varied group of people with varying degrees of history,Deceptive
"Irene Seligman, an assistant district attorney in the county, is searching for a",Deceptive
I bought this mainly to replace an older one that had two switches.  The old one,Deceptive
Fit great but it had some issues and the materials weren't smooth.,Spam
"Great holsters, I ended up using a Taurus 10"" Taurus G17 for the first",Spam
Exactly as advertised. Better quality than the original. We love this blanket.,Spam
This book introduces you to some of the characters and introduces you to a lot o,Deceptive
Used this for a wallet and it was a very good value.  I have a large one and,Unclassified
I am a self employed mechanic and professional with a lot of experience.  I have,Unclassified
Comfortable fit and great quality. Definitely will buy again. It's not too tight,Unclassified
This is awesome movie too.  The story is very good and the characters are very b,Unclassified
"The way Gillian Flynn gets into it, the writing is good, and the characters are ",Deceptive
Another good read for zombie lovers. The characters were well developed and kept,Deceptive
I love fresh bread (who doesn't love fresh bread?) but it's also a must have for,Deceptive
These are some of the best ones I've used. I'm not sure if I would recommend the,Unclassified
I've read a lot of books by the author and this one is by far my favorite.  The ,Deceptive
"Well I don't know if it will work with the other two, but for the price, it's a ",Deceptive
"This thing SUCKS, it is not an easy to clean. I will admit that I have been usin",Unclassified
My house is all tile.  I love the look of this rug.  It's been a great purchase.,Deceptive
Bought this medium size for my wife and she loves it.  She also loves the fact t,Unclassified
Great camera. I have four of these and they work fine.,Spam
I'm a 6ft tall woman and have the largest one in the house. I have been wanting ,Deceptive
"I'm sure it is great, but I wouldn't recommend it.  If you have a dog who is pro","Deceptive, Paid/Promotional"
"I agree 100% with other reviewers. The quality is good, but not spectacular. I h",Deceptive
I learned a lot from this book.  There is a lot of information on how to structu,Unclassified
My 8 year old put this on the shelf and it was a lot of fun!Very nice.I bought t,Unclassified
The Knitting Circle appealed to me. The characters were well developed and the s,Deceptive
Unnecessarily complicated. It seemed like a stretch at the end. I will admit tha,Unclassified
This DisplayPort to HDMI adapter works great and the only thing I wish it had is,Deceptive
"These are some of my favorite containers, and they are all made by my son. He ha",Deceptive
refused to use litter box.  She kept the box in the living room for a couple of ,Deceptive
Three interconnected stories about being a grown up with a sense of purpose.,Spam
This is my favorite retractor!  I love the feel and feel of it!  I have one in m,Unclassified
"Fits slightly small.  Other than that, it is very very cute with vibrant colors.",Spam
I didn't like this book at all. I just don't like this authors writing style and,Unclassified
"I have always wanted one of these, and it is a great deal for the price.  The ot","Deceptive, Paid/Promotional"
"You know that guy down there who you thought was a good guy. Well, I know he's a","Deceptive, Bot-Generated"
"Holy moly, nice and sharp!  I love the finish. The blade is just the right size.",Deceptive
I got a few bags of these and they fit perfectly.  I also have a few of the othe,Deceptive
no where near as good as the original.  The two women are also very well done an,Unclassified
What to say about Diana Gabaldon.  Her books are always my favorite.  She is a t,"Deceptive, Paid/Promotional"
Excellent. Easy to use. Product is as good or better than description. Highly re,Deceptive
I love this ring. It looks great and the materials are good. I also like the way,Unclassified
"Good size, works as it should. The only problem is that it's too small for my do",Unclassified
I stopped reading about a few of the characters and decided I needed to read a l,Unclassified
My 4 year-old girl loves this toy and she has been playing with it for a couple ,Deceptive
My children have really enjoyed this set and the materials are good.  My son lov,Deceptive
I bought this so my old ones couldn't be used anymore. This is the first one I'v,Deceptive
"Like all of the series, it's an interesting and intriguing read.",Spam
In my opinion the Galapagos Islands are the most beautiful and the most pivotal ,Deceptive
"Trick your kid into learning, and it's a very fun game.  If you have a child who",Deceptive
I thought they were better than the movie. I saw it for the first time and was s,Deceptive
Melody Grace did it again.  She kept the reader in suspense until the end.  I'm ,Deceptive
I bought this as a gift for my son and it was a gift for him too!  It is so smal,Deceptive
I purchased this from DoctorsDirect for my cat and it was a great deal for the p,Unclassified
Donated the food to Putnam's. The food is fine but it's not a very strong grain ,Deceptive
"These lilac bloom leggings are a pretty color, very soft and comfortable will be",Unclassified
I was very excited to find this item.  I was expecting a lot of the other one.  ,"Deceptive, Bot-Generated, Paid/Promotional"
Emily Carmichael is depressed. Her life has been shattered and her sister is dea,Deceptive
"Very similar to Mattel's Monster High. The pieces are very thick and sturdy, and",Unclassified
It's a good size for what it is. It is thick enough to hold a small amount of co,"Deceptive, Paid/Promotional"
My cats love this flavor!  I love the taste and I will keep feeding it!Very nice,Deceptive
Great for the girls I'm 36d and bought a small,Spam
This is the first of a series and the first in the series by Stephanie Scott. I',"Deceptive, Paid/Promotional"
The Contigo Jackie Water Bottle (Cordura) is a great inexpensive bottle for the ,Deceptive
Wow..what a crazy hot tense time. The chemistry between these two is off the cha,Deceptive
Lights went out over the weekend. The only problem is that it's kind of hard to ,Unclassified
I've had this cooler for a couple of years now and I'm still happy with it. It i,Deceptive
Bought this for my wife. This is the fifth shoe i bought this year for her.,Unclassified
"It's quite bright, but we use it at night and it's not as bright as the inc",Unclassified
"i was a little skeptical, but I thought it would be a nice addition to the wardr",Deceptive
Nice set. Bought it for my 3 year old. She loves it.,Spam
Very inspiring. I work at a financial firm and have never heard of anyone who di,Unclassified
"It's a very cute outfit, but the quality is just not good.",Spam
Spyderco sets the standard in quality and construction. The included buckle is a,Deceptive
Bought this just to be able to use some of my older HDD's without installing the,Unclassified
This is a nice little set. The pieces are sturdy and the pieces fit well in the ,Deceptive
I love the shoe I order a 8 1/2 there where a lil to small then I order a 9 ther,Deceptive
Quality is OK. You get what you pay for.Very good quality.Nice little speaker. W,Deceptive
I read the entire eight-novel series. The characters were well developed and kep,Deceptive
I've owned a few different brands of Topeak and this one is my go to.  It is so ,Unclassified
This one is another collection of my children's book. The story is adventurous a,Deceptive
"I was ready to pull this off, but the instructions were a little difficult to re",Deceptive
"Showed up completely highlighted in this book, with the exception of a few impor",Unclassified
We all know how overwhelming it is when you walk in them.  These are the only sh,Deceptive
"Amazing, and sad, that many of the people who died in the cold war did not have ",Deceptive
My dogs love these things!  They are lightweight and comfortable for them.  They,Unclassified
work fine look good and looks good too.  I've also used this for a few hours and,Unclassified
SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.,Spam
Very unique and funny. Just what I expected.Very funny.,Spam
"I have a female golden, and she is an aggressive chewer.  This is the only one I",Unclassified
They chewed through the bottom of it so not good to live in,Spam
I used the chain for a couple weeks with the chain included in the package. I wa,Unclassified
This product came as described and has been working flawlessly for a couple of w,Unclassified
"Nice bowls for the price,  they are small but hold just the right amount of food",Deceptive
I was pleasantly surprised and happy to find out that this was a book that I wou,"Deceptive, Paid/Promotional"
"My English retriever pup has been on the market for a few years now, and I have ",Unclassified
"When I started this short story, I thought it was a bit boring, but I was pleasa",Deceptive
There are three things I would say about this product:,Spam
"very nice black/white slingback pump, and it's a very comfortable fit.",Spam
I like the two-sided design.  I have a long-haired dog and my dog loves to scrat,Deceptive
"Totally encrossing, couldn't put it down. The characters were just so real. Ther",Unclassified
"Really neat product. I tried it on the side and it worked perfectly. Nice, sturd",Deceptive
Very comfortable and helps my wrists. The only problem is that it's not really a,Unclassified
Love this show.,Spam
I expect this will do what it is supposed to. I will keep my thumb in the pocket,Unclassified
They were about 2in short length and the waist was an inch or two to small. I fo,Unclassified
"I recommend this book to those who are looking for a good, quick read without ra",Deceptive
This makes the second pair of jeans I bought very comfortable.  I also like the ,Deceptive
"This was a little bit smaller than expected, but it works well for insulating bo",Unclassified
I can run this right now. The only problem is that it's kind of hard to put on. ,Unclassified
It made a great gift for my daughter.We love this lens.  It's been one of the be,Deceptive
"This is one of the better ones I've read in a long time, and I'm just glad I",Unclassified
These are a godsend. It's a real shame they don't fit in the crate.,Spam
Another solid outing for the series. The characters are well developed and belie,"Deceptive, Paid/Promotional"
I have two turbo scratchers and both love the taste. I will keep this for the ne,Deceptive
The doll is in good condition but I can not say the same of your box.,Unclassified
Nice balance and control.  Not an easy task to manage but it works for me.  Work,Deceptive
My son absolutely loves this! We have had the knee pads for a while now and I ha,Unclassified
Adorable! Bought for my daughter who is 2 fit her perfectly,Spam
Great story! Nice plot and characters. The characters are well developed and bel,Unclassified
Read this many times but it has kept me on my toes.  This is a must read.I read ,Deceptive
"It took a little coaxing, but the pieces are just right.  The only reason I'm gi",Unclassified
I really enjoy reading Sable and her characters.  Her characters are believable ,Spam
My dog was previously on a diet and started eating something else after her firs,Deceptive
Tina Fey is talented and has an amazing story to tell.,Spam
I really like this water fountain. The design is very good and easy to use. I ju,Deceptive
"There were a couple of issues with the story, which I will admit was a little ov",Unclassified
"This has become my default starter set, and my kids love it.  It's been a great ",Deceptive
These are my first bands and they are the best. I will keep my 2nd as backup.,Unclassified
"This is a great holster.  Comfortable, durable, and well made.  It works great f",Unclassified
Nice marbles...really just wanted two more. The pieces are just too small. My 2 ,Unclassified
"Great product!  My dogs love, love, love these, and they're made in the USA so n",Deceptive
I wasn't sure what to expect. The story was a good one. There were a few typos a,Deceptive
Very interesting read.  It was an easy read and a good read.  I would recommend ,Unclassified
This is a great bowl!  I love the taste and the construction.  The bowl is prett,Unclassified
"The Brown Bagin Blues is a sweet, sweet, romantic romance about a young woman wh",Deceptive
The best stuff for my dog. The only problem is that it's kind of hard to put on.,Unclassified
Hugo Award winner in 1953.  He was an important part of the history of the USA a,Deceptive
The ripple rug deserves more attention. The design is very good and easy to use.,"Deceptive, Paid/Promotional"
Dogs really liked them.  A little pricey for the amount so can't get them often.,Unclassified
Patterson is my FAVORITE author.  I love the way he explains how science works,Spam
"Fits perfectly, washes very well, has a wide width and is comfortable.",Spam
Rosle peelers are a  nice addition to the kitchen. I also love that the stainles,Deceptive
"<div id=""video-block-R28F4M41UIB1DN"" class=""a-section a-spacing-small a-spacing-",Unclassified
Good concept but the suction cups aren't strong enough to hold this up it keeps ,Unclassified
I love this little bag. I wear it as a carry on. It's a nice bag. I had to get a,Deceptive
really well designed.  easy to put together.  lots of power.  great rip fence ca,Deceptive
Not for strong chewers.  Not for chewers.  I will not buy this product again.Gre,Paid/Promotional
This book was very dreamy.  It was a good read.  I would recommend it.I read thi,"Deceptive, Paid/Promotional"
"Dont understand why they call this movie The Lord of the Rings?  Well, I don't. ",Unclassified
A friend of mine told me about the story and I was intrigued. This is the first ,Deceptive
probably better to buy wrap.  I love the feel of the fabric.  The yellow is awes,Unclassified
it works like it should.  The only problem is that it's kind of hard to put on,Unclassified
I have four of these and have never had any issues.,Spam
An exciting read to be sure.  Felix's writing is becoming more like his father's,Deceptive
I like the story line and the characters.  I was a little surprised that the aut,Deceptive
This cord is being used for an electrician's workshop. The cord is strong and st,Deceptive
My goldendoodle loves his musical time. The only problem is that it's kind of ha,Unclassified
Purchased this wristlet to use as a watch case.  It is very light weight and doe,Deceptive
It works just as it should. The only problem is that it comes with a small screw,Unclassified
Mitch and Chella are one of my favorite characters in this series.  There is a s,"Deceptive, Paid/Promotional"
"This DVD is really a good movie, with lots of action and lots of beautiful scene",Unclassified
This item was a gift--hence the name--to my son for Christmas.,Spam
A beautiful piece worth showing off. The only problem is that it's a little too ,Unclassified
Results far exceed the cost of an original cell phone. I will keep my original c,Unclassified
Great in keeping the backseat clear. The only problem is that it's kind of hard ,Unclassified
I'm a sixtysomething woman who works in the emergency department and has a lot o,"Deceptive, Paid/Promotional"
I will wear this watch when going out to clubs.,Spam
Nice bed. Going on 2 years now. The dogs prefer this one to the other two I have,Unclassified
I bought two sets of this set and they are just too cute.  They are tiny and we ,Unclassified
Very interesting and well written book.  Good plot and interesting characters.  ,Unclassified
"Not too many people are using this system I'm thinking, but I do, good product, ",Unclassified
WARNING - CONTAINS HIGHLY TOXICITY. The pieces are just too small.,Spam
Bought this as a gift for my husband. He loves it.  He loves the way it looks.  ,Deceptive
I have two of these and have had no issues. I will keep them for the next couple,Unclassified
Very good sturdy machine for the money.  It is very smooth and easy to use.  The,Unclassified
It's a nice little book that has the pieces and instructions for a lot of differ,Deceptive
Squirrels will find a way to break the pieces off. I will keep this for the next,Deceptive
"Really nicely made small knockbox.  I love the look and feel of it, and the size",Unclassified
These are cute but they are a little wide on me.  I'm a 40 waist and they,Unclassified
"Good for a rented house, it's an excellent value for the money, and I'm pretty s",Unclassified
It is great that it has an easy to use instructions.  I also like the fact that ,Deceptive
"After recently ordering a new pair of headphones, I decided to purchase a pair o",Unclassified
"The past wwe Survivor Series, it was the best show I have ever seen. I was just ",Deceptive
Really cute! Easy to assemble. We have had the wooden trains for a few months no,Deceptive
This is outstanding 750lb Paracord. I love the feel and fit of this paracord. It,"Deceptive, Paid/Promotional"
This is the first Nicholas Spark novel I have read.  I've seen the movie version,Deceptive
Nice product have not had much experience with this thing the roller is awesome.,Spam
"Okay, I wrote a 4 star review, and I just wasn't happy with it. I just wanted to",Unclassified
I really like these P90X shirts. They are very comfortable and they are also ver,Deceptive
I purchased this from Walmart...spent $60 and bought it in two days.  The reason,Deceptive
"I am not going to go into the design and design of the computer, but I am just g",Unclassified
The Beautiful Ones is the story of the founder of a class of people who have bec,Deceptive
"I hesitated to buy this, but I thought it would be a nice addition to the litter",Unclassified
Great product! Put into my first build. I'm pleased with the results.,Spam
I originally bought this book for my daughter as a Christmas present. She loves ,Deceptive
"Love it, but this should last a long time. Very good quality. Nice, sturdy, and ",Deceptive
"First, this thing works well, and the quality is good.",Spam
Heel is far too big.  I wear an XL.  My husband wears a 40 and he is a 6.5 and I,Deceptive
He's plays with her all the time she loves her,Spam
I very much like this saw.  It's comfortable and smooth.  The blade is pretty st,Deceptive
There should be more Ricardo Hanley's in the world.,Spam
"This game is never dull, and has always been a fun game.  There is a lot of",Unclassified
"The dialogue is stiff, wooden, and an easy read.  I will admit that I thought th",Deceptive
"Great movie, Very funny and and motivating movie.  If you or someone you know is",Deceptive
"Wow, a lot of scathing reviews say the pieces are just too small. Well, I'm just",Deceptive
Purchased for my husband for Christmas.  He loves it.  We also have a large one.,Unclassified
Great little light!  Packaged well.  Comes with a small screwdriver for the scre,Deceptive
"Very, very simple ebook directions that will make you feel comfortable reading i",Spam
This is the first Jack Reacher book I've read that I haven't read in a while. Th,Deceptive
"This is a stretchy, rayon material. The only problem is that it's a little too l",Deceptive
Fit car as intended (1997),Spam
My grandson wore these for a couple of years and they fit perfectly. He loves th,Unclassified
Great camping cups/pot. Easy to assemble and the materials are good.,Spam
"If you like and enjoy this movie, you will love this movie. If you are a fan of",Unclassified
I bought these for a weekend trip and they work great. I also have a few of the ,Deceptive
My son needed a new pair of shorts.  These fit him perfectly and he loves them! ,Deceptive
I have bought several folders and containers and they all seem to be very well m,Deceptive
"Nice toy box, but not what I expected.  Not sure if it's just the box,",Unclassified
5 STARS!! I love Game of Thrones and the Lord of the Rings series!This movie was,Unclassified
This book was great. Well written. The characters were believable. The plot was ,Unclassified
My granddaughter loves this type of toy and she loves using it in her playroom!V,Deceptive
very sturdy and a great addition to our eat in breakfast nook.,Spam
Joyce Chen Bamboo utensils are perfect for the job.  I will keep my bamboo utens,Deceptive
"Good, inexpensive logic probe. Not an easy task to install but it works for my n",Unclassified
AWESOME! This is a BPA free product and the materials are good.  I have a large,Paid/Promotional
"I don't like this book, but it's an interesting and good read.",Spam
Ron Franscell  guides us into a world where we are all living in this world.  We,"Deceptive, Paid/Promotional"
"Anyone expecting some miracle tool... this is it.  Not too big or too small, but",Deceptive
"I like it, just wish it had more wide opening. I also love that it's been made",Unclassified
"It's ok, but didn't fit my puppy, she's a small dog.",Spam
"Have purchased over 20 of these, I am very pleased with them. They are very soli","Deceptive, Paid/Promotional"
Got ride of all those wheels. The only problem is that it's kind of hard to slid,Unclassified
Great way to work out.  I love the feel of the fabric.  The yellow is awesome,Unclassified
I ordered a couple of these to replace the old ones I had. They work well and lo,"Deceptive, Paid/Promotional"
My son wanted to hang it on the wall and it was a nice piece of equipment.  It i,Unclassified
"Joan Hickson IS Miss Marple, and has the wit and wisdom of a true detective. She",Deceptive
It was interesting but not enough to make me feel like I was reading this book.,Unclassified
"like them very much,  and have the quality and quality of a lot of other brands.",Unclassified
One thing is for sure: this is the only one of the two G-Shock I own that doesn',Deceptive
I love being able to choose a door to open to let dogs in and out. It was easy t,Deceptive
because it is a good material) and the materials are good.  The only reason I or,Unclassified
This is the second beer I have bought with the instructions included.  This one ,Unclassified
"Great little card holders for the money, and very comfortable.",Spam
i took on a project that I had to finish. I chose this one for the first one.,Unclassified
The heart rate function works fine. The only problem is that it takes a little g,Unclassified
"Love the Maizie Dobbs series, it's an interesting and intriguing read.",Spam
I think my husband is going to love this!Very good quality. My son loves this!Gr,Unclassified
"When I purchased this toy, I was hoping it would be a lot more interactive. It h",Unclassified
This spray helped my dog eat a whole bag of these treats after eating them for t,Unclassified
"Great story,good plot, well told, an easy read, and I will keep reading it!Very ",Deceptive
Awkward in tight locations. Poor grip on larger size lock nuts. Good quality mad,Unclassified
I had to have this set. The pieces are sturdy and the pieces fit well. I'm very ,Deceptive
These are the best and most comfortable shorts I have ever worn.  These have a m,Deceptive
In my next life I plan on reading the next book in the series!This book was one ,Unclassified
Not very good. It sounds okay but not great choice of songs. Also it's made from,Unclassified
"I like that Ben didn't go into the story knowing what was going on, but I liked ",Unclassified
This is the first novel-length novel I have ever read. I read it for my students,"Deceptive, Bot-Generated"
"love these boots, but a little tight at the toe. I will keep them, but I'm going",Unclassified
Harder to follow than the book. You start in the middle of the story with no ide,Unclassified
These slippers are perfect for my wife and she loves them.  She also loves the w,Deceptive
I bought this for my son to wear as a Christmas present.  He loves the way he ca,Deceptive
"They're great! They are a little tight, but they're good enough to wear for a fe",Deceptive
"This pop-up version of the book has the same title: ""From the Ashes of the Earth",Unclassified
The quality is good and I like the soft gray color,Spam
This is a very well-made film. The story is well-written and the acting is top n,"Deceptive, Bot-Generated"
"Tried to use on an old Macbook Pro, which I did not need, and was just fine.  I ",Unclassified
"I read that the top of the top was too tight for my liking, so I went with the o",Deceptive
This is a nobrainer really.  I love the movie.  The plot is just a little too si,Deceptive
This book was brutal and it has the potential to be a full book. The characters ,Deceptive
"This board is great and looks great, the only thing I wish it had was a little b",Deceptive
I wanted healthier cookware and this set is the best. I will be purchasing more!,Deceptive
"These are your basic waffle-knit shirts. The quality is good, but they are a lit",Deceptive
It seems like the glass is a little too thick. I will admit that it's been a lit,Unclassified
"If it weren't for the fact that the shipping was a little slow, I would have bee","Deceptive, Paid/Promotional"
"NEW updated review. Almost caught on fire, the camera just started blinking.",Spam
Wanted the bubonic chronic of this. The only problem is that it's kind of hard t,Unclassified
"I didn't even know Rockford had an open mic, which is a nice bonus. I was just b",Deceptive
These were exactly what I wanted. The quality is just right. I am a 40 year old.,Unclassified
"i've not tested much, but it's nice to know you're getting a good workout.Very n",Deceptive
Very nice video about the life of the founder of a small town.  He was a pretty ,Unclassified
Eye opening read with very little action and the writing is slow.  There is a lo,Unclassified
Elegance and comfort. The fabric is stretchy and very comfortable.,Spam
This was so good it was hard to put down. I will admit that I was a bit disappoi,Unclassified
Works perfectly with my FoodSaver. The only problem is that it's not really a va,Unclassified
This is a great family movie. The story is very good and the characters are very,Unclassified
This is an amazing product.  I love the materials and feel of this bottle.  I ju,Unclassified
This is the best tool that I have ever used. I will continue to use this as long,Unclassified
